,en,fr
0,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Comme vous avez pu le constater, le grand ""bogue de l'an 2000"" ne s'est pas produit. En revanche, les citoyens d'un certain nombre de nos pays ont été victimes de catastrophes naturelles qui ont vraiment été terribles."
1,"It is nevertheless the case that not a penny more than what was allocated before the storm will now be freed up to demonstrate practical, active solidarity.","Il n'en demeure pas moins que pas un centime de plus que ce qui était distribué avant la tempête ne sera aujourd'hui libéré pour manifester une solidarité concrète, active."
2,"Furthermore, although there might be international consensus on the introduction of the scheme, the question would remain regarding how the tax revenue would be distributed.","En outre, quand bien même on parviendrait à une entente au niveau mondial sur l' adoption de cette taxe, il resterait la question du partage des produits de la taxation."
3,(NL) That the Florenz report has caused such a stir has been proven by the powerful lobby machine which has been set in motion by both industry and the environmental movement.,"(NL) L'ampleur des réactions suscitées par le rapport Florenz a été démontrée par la puissante machine de lobby qui a été mise en route, tant par l' industrie que par les mouvements écologistes."
4,"However, these isolated elements which make sense and for which we voted, in no way remedy the Eurofederalist philosophy which characterises the Community initiatives, particularly INTERREG.","Néanmoins, ces paragraphes, marqués au coin du bon sens et en faveur desquels nous avons voté, ne corrigent pas la philosophie eurofédéraliste qui caractérise les initiatives communautaires, notamment Interreg."
5,"It is good for us that we have the power to do this, in spite of the fact that we are not completely satisfied.","C'est une bonne chose pour nous que nous ayons le pouvoir de le faire, même si nous ne sommes pas pleinement satisfaits."
6,"Mr President, the agreement being promoted will be the first application of the Stability Pact in south-eastern Europe,","Monsieur le Président, l'accord proposé constituera la première application de l'accord de stabilité dans l'Europe du Sud-Est."
7,"Moreover, Europe is still the main destination for tourists from third countries, even though it faces increasingly stiff competition and an increasingly diversified and attractive range of products.","De plus l'Europe demeure la principale destination touristique des pays tiers, même si elle doit faire face à une concurrence de plus en plus forte et à une offre de plus en plus diversifiée et attrayante."
8,Fish escapes from aquaculture premises have been reported in the past and the virus has been found in wild stocks.,On a signalé par le passé la fuite de poissons de sites aquicoles et le virus a été détecté dans les stocks de poissons sauvages.
9,"Mr President of the Commission, when you entered upon your duties, you said that the Commission would be characterised by openness.","Monsieur le Président de la Commission, lorsque vous êtes entré en fonction, vous avez déclaré que la Commission serait marquée par l'esprit de transparence."
10,Infectious animal waste is not covered by the scope of this directive in its common position form because it is covered by Directive 90/667.,"Les déchets d'animaux malades n'entrent pas dans le champ d'application de cette directive dans sa forme de position commune, parce que ceux-ci sont couverts par la directive 90/667."
11,In response to a European Parliament resolution in 1997 the Commission has conducted an awareness-raising campaign on domestic violence within the Member States.,"À la suite de la résolution du Parlement européen de 1997, la Commission a mené une campagne de sensibilisation sur la violence domestique dans les États membres."
12,"The new regime can only win the new local elections, expected in May, if the opposition is, in effect, eliminated.","Seul le nouveau régime est en mesure de remporter les nouvelles élections municipales qui devraient avoir lieu en mai, puisque l'opposition en est tout simplement écartée."
